toucher,passer,receiver,shooter,goalie,assister,blocker,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,playType,Period,gameClock,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Date,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Team,teamId,teamImageId,opponent,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,ShotDist,reportId,PsDist,PsDirection,PsCompleted,Chance,xGOT,ShotPlayStyle,BodyPart,Pressure,PlyrsBtwn
Alejandro Balde,Alejandro Balde,Ansu Fati,,,,,,,,308krssmz6irpfntht1ka78tm,bzgh5psb1janz9y3btpswngbu,bzgh5psb1janz9y3btpswngbu,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:29,29,2,7,19,2,2,Pass,1,84,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0011,0.0,null-223,10.3,Square,Yes,No,0.00,,Other,None,
Ansu Fati,Ansu Fati,Alejandro Balde,,,,,,,,bzgh5psb1janz9y3btpswngbu,308krssmz6irpfntht1ka78tm,308krssmz6irpfntht1ka78tm,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:30,30,2,7,20,2,2,Pass,1,85,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0004,0.0,null-223,10.8,Square,Yes,No,0.00,,Other,None,
Alejandro Balde,Alejandro Balde,Iñigo Martínez,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,bzgh5psb1janz9y3btpswngbu,bzgh5psb1janz9y3btpswngbu,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:31,31,2,8,21,2,2,Pass,1,86,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0001,0.0,null-223,21.4,Backward,Yes,No,0.00,,Other,None,
Iñigo Martínez,Iñigo Martínez,Iñaki Peña,,,,,,,,4mxx1oxkiexm0ha34utcmb17t,cd5napttmwk5o9gxw3cbb4ted,cd5napttmwk5o9gxw3cbb4ted,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:32,32,2,8,22,2,2,Pass,1,88,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,23.8,Backward,Yes,No,0.00,,Other,None,
Iñaki Peña,Iñaki Peña,Iñigo Martínez,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,4mxx1oxkiexm0ha34utcmb17t,4mxx1oxkiexm0ha34utcmb17t,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:33,33,2,8,23,2,2,Pass,1,92,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,19.3,Square,Yes,No,0.00,,Other,None,
Iñigo Martínez,Iñigo Martínez,Pau Cubarsí,,,,,,,,bkwxem45cf48k14euwqe7rs44,cd5napttmwk5o9gxw3cbb4ted,cd5napttmwk5o9gxw3cbb4ted,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:34,34,2,8,24,2,2,Pass,1,98,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,24.6,Square,Yes,No,0.00,,Other,None,
Pau Cubarsí,Pau Cubarsí,J. Koundé,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,bkwxem45cf48k14euwqe7rs44,bkwxem45cf48k14euwqe7rs44,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:35,35,2,8,25,2,2,Pass,1,101,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,18.1,Square,Yes,No,0.00,,Other,None,
J. Koundé,J. Koundé,Pau Cubarsí,,,,,,,,bkwxem45cf48k14euwqe7rs44,cscn06kwqfzo09h0dc5ybt1pl,cscn06kwqfzo09h0dc5ybt1pl,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:36,36,2,8,26,2,2,Pass,1,105,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,14.3,Square,Yes,No,0.00,,Other,None,
Pau Cubarsí,Pau Cubarsí,Iñigo Martínez,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,bkwxem45cf48k14euwqe7rs44,bkwxem45cf48k14euwqe7rs44,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:37,37,2,8,27,2,2,Pass,1,108,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0001,0.0,null-223,21.4,Square,Yes,No,0.00,,Other,None,
Iñigo Martínez,Iñigo Martínez,Alejandro Balde,,,,,,,,bzgh5psb1janz9y3btpswngbu,cd5napttmwk5o9gxw3cbb4ted,cd5napttmwk5o9gxw3cbb4ted,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:38,38,2,8,28,2,2,Pass,1,113,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0002,0.0,null-223,11.7,Forward,Yes,No,0.00,,Other,None,
