toucher,passer,receiver,shooter,goalie,assister,blocker,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,playType,Period,gameClock,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Date,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Team,teamId,teamImageId,opponent,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,ShotDist,reportId,PsDist,PsDirection,PsCompleted,Chance,xGOT,ShotPlayStyle,BodyPart,Pressure,PlyrsBtwn
Kike Salas,Kike Salas,José Ángel Carmona,,,,,,,,6jq376l673aizjxxhhos2j52i,9nwkxgbl8t933pzu60ye4xxxw,9nwkxgbl8t933pzu60ye4xxxw,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:29,29,2,4,6,2,2,Pass,1,47,25,45,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-05-18,Sevilla,Real Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,RMA,3kq9cckrnlogidldtdie2fkbl,186,0,0,0,2,0,2,2,45,2025-05-18 17:00:00,L 0-2,0-0,0.00,0.0000,0.0,null-223,19.2,Square,Yes,No,0.00,,Other,None,
José Ángel Carmona,José Ángel Carmona,N. Gudelj,,,,,,,,6vvwhgic29fekmmj2cg62ytp1,6jq376l673aizjxxhhos2j52i,6jq376l673aizjxxhhos2j52i,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:30,30,2,4,7,2,2,Pass,1,51,25,45,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-05-18,Sevilla,Real Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,RMA,3kq9cckrnlogidldtdie2fkbl,186,0,0,0,2,0,2,2,45,2025-05-18 17:00:00,L 0-2,0-0,0.00,0.0000,0.0,null-223,14.7,Square,Yes,No,0.00,,Other,None,
N. Gudelj,N. Gudelj,Kike Salas,,,,,,,,9nwkxgbl8t933pzu60ye4xxxw,6vvwhgic29fekmmj2cg62ytp1,6vvwhgic29fekmmj2cg62ytp1,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:31,31,2,4,8,2,2,Pass,1,51,25,45,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-05-18,Sevilla,Real Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,RMA,3kq9cckrnlogidldtdie2fkbl,186,0,0,0,2,0,2,2,45,2025-05-18 17:00:00,L 0-2,0-0,0.00,0.0000,0.0,null-223,18.0,Backward,Yes,No,0.00,,Other,None,
Kike Salas,Kike Salas,Ø. Nyland,,,,,,,,cfc7fqq748bz3nklfam2a2fp,9nwkxgbl8t933pzu60ye4xxxw,9nwkxgbl8t933pzu60ye4xxxw,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:32,32,2,5,9,2,2,Pass,1,55,25,45,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-05-18,Sevilla,Real Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,RMA,3kq9cckrnlogidldtdie2fkbl,186,0,0,0,2,0,2,2,45,2025-05-18 17:00:00,L 0-2,0-0,0.00,0.0000,0.0,null-223,24.4,Square,Yes,No,0.00,,Other,None,
Ø. Nyland,Ø. Nyland,,,,,,,,,,cfc7fqq748bz3nklfam2a2fp,cfc7fqq748bz3nklfam2a2fp,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:33,33,2,5,10,2,2,Pass,1,59,25,45,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-05-18,Sevilla,Real Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,RMA,3kq9cckrnlogidldtdie2fkbl,186,0,0,0,2,0,2,2,45,2025-05-18 17:00:00,L 0-2,0-0,0.00,0.0000,0.0,null-223,40.6,Square,No,No,0.00,,Other,None,
L. Modric,,,,,,,,,,,,diod1hv5hv7v7z7mfleev1txx,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:34,34,,5,,,,BallTouch,1,62,,,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2025-05-18,Sevilla,Real Madrid,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,0,2,2,0,2,45,2025-05-18 17:00:00,W 2-0,0-0,0.00,0.0000,0.0,null-223,0.0,Square,No,No,0.00,,Other,None,
Juanlu Sánchez,Juanlu Sánchez,L. Badé,,,,,,,,rlgrvvibryod2g92hqc97ii2,7j2h7bq14b9n6xephp8vchfu2,7j2h7bq14b9n6xephp8vchfu2,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:38,38,3,6,1,2,2,Pass,1,67,12,45,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-05-18,Sevilla,Real Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,RMA,3kq9cckrnlogidldtdie2fkbl,186,0,0,0,2,0,2,2,45,2025-05-18 17:00:00,L 0-2,0-0,0.00,0.0000,0.0,null-223,19.4,Backward,Yes,No,0.00,,Other,None,
L. Badé,L. Badé,Ø. Nyland,,,,,,,,cfc7fqq748bz3nklfam2a2fp,rlgrvvibryod2g92hqc97ii2,rlgrvvibryod2g92hqc97ii2,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:39,39,3,6,2,2,2,Pass,1,70,12,45,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-05-18,Sevilla,Real Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,RMA,3kq9cckrnlogidldtdie2fkbl,186,0,0,0,2,0,2,2,45,2025-05-18 17:00:00,L 0-2,0-0,0.00,0.0000,0.0,null-223,24.8,Square,Yes,No,0.00,,Other,None,
Ø. Nyland,Ø. Nyland,Suso,,,,,,,,5c4ku1hmhy6l9dq8a5jp1qf9x,cfc7fqq748bz3nklfam2a2fp,cfc7fqq748bz3nklfam2a2fp,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:40,40,3,7,3,2,2,Pass,1,77,12,45,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-05-18,Sevilla,Real Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,RMA,3kq9cckrnlogidldtdie2fkbl,186,0,0,0,2,0,2,2,45,2025-05-18 17:00:00,L 0-2,0-0,0.00,0.0000,0.0,null-223,34.6,Forward,Yes,No,0.00,,Other,None,
Suso,,,,,,,,,,,,5c4ku1hmhy6l9dq8a5jp1qf9x,,9k2lcpit2c3iaegde42bu3uac,9k2lcpit2c3iaegde42bu3uac,2445375,9k2lcpit2c3iaegde42bu3uac:41,41,3,7,4,2,2,BallTouch,1,79,12,45,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-05-18,Sevilla,Real Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,RMA,3kq9cckrnlogidldtdie2fkbl,186,0,0,0,2,0,2,2,45,2025-05-18 17:00:00,L 0-2,0-0,0.00,0.0000,0.0,null-223,0.0,Square,No,No,0.00,,Other,None,
