toucher,passer,receiver,shooter,goalie,assister,blocker,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,playType,Period,gameClock,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Date,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Team,teamId,teamImageId,opponent,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,ShotDist,reportId,PsDist,PsDirection,PsCompleted,Chance,xGOT,ShotPlayStyle,BodyPart,Pressure,PlyrsBtwn
D. Lukébakio,,,,,,,,,,,,5cw4n6kdaa7imeyaiuo2pnq39,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:42,42,7,9,1,5,5,TakeOn,1,68,0,67,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,0.0,Square,No,No,0.00,,Other,None,
Marcos Llorente,,,,,,,,,,,,amxunh6enoc99r07cp7qt621h,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:43,43,,9,,,,Tackle,1,68,,,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,0.0,Square,Yes,No,0.00,,Other,None,
R. Vargas,R. Vargas,,,J. Oblak,,,,,,,4zrut521fzw9fddqt74pnl756,4zrut521fzw9fddqt74pnl756,2yt9oajv9dkbju8tgy1g2nmqd,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:47,47,8,10,1,5,5,Pass,1,102,0,67,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,32.9,Square,No,No,0.00,,Right foot,None,
A. Griezmann,,,,,,,,,,,,716n1970vi9rvw5b4w9qmjfth,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:48,48,,,,,,Clearance,1,103,,,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,0.0,Forward,Yes,No,0.00,,Head,None,
D. Lukébakio,D. Lukébakio,R. Vargas,,,,,,,,4zrut521fzw9fddqt74pnl756,5cw4n6kdaa7imeyaiuo2pnq39,5cw4n6kdaa7imeyaiuo2pnq39,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:50,50,9,11,1,5,5,Pass,1,106,4,67,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0009,0.0,null-223,7.4,Forward,Yes,No,0.00,,Other,None,
R. Vargas,R. Vargas,,,J. Oblak,,,,,,,4zrut521fzw9fddqt74pnl756,4zrut521fzw9fddqt74pnl756,2yt9oajv9dkbju8tgy1g2nmqd,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:51,51,9,11,2,5,5,Pass,1,110,4,67,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,32.1,Square,No,No,0.00,,Left foot,None,
Robin Le Normand,,,,,,,,,,,,6xulax65kp4aid70nk7g5jr2t,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:54,54,,11,,,,Clearance,1,111,,,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,0.0,Square,Yes,No,0.00,,Head,None,
D. Lukébakio,D. Lukébakio,José Ángel Carmona,,,,,,,,6jq376l673aizjxxhhos2j52i,5cw4n6kdaa7imeyaiuo2pnq39,5cw4n6kdaa7imeyaiuo2pnq39,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:58,58,10,12,1,5,5,Pass,1,132,3,67,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0014,0.0,null-223,21.3,Backward,Yes,No,0.00,,Other,None,
José Ángel Carmona,José Ángel Carmona,,,J. Oblak,,,,,,,6jq376l673aizjxxhhos2j52i,6jq376l673aizjxxhhos2j52i,2yt9oajv9dkbju8tgy1g2nmqd,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:59,59,10,12,2,5,5,Pass,1,135,3,67,SEV,,,Sevilla,Sevilla,SEV,Sevilla,#ed1c24,179,2025-04-06,Sevilla,Atlético de Madrid,0,0,SEV,SEV,10eyb18v5puw4ez03ocaug09m,179,ATM,4ku8o6uf87yd8iecdalipo6wd,175,0,0,1,2,1,2,2,45,2025-04-06 14:15:00,L 1-2,0-0,0.00,0.0000,0.0,null-223,32.2,Square,No,No,0.00,,Left foot,None,
J. Oblak,,,,,,,,,,,,2yt9oajv9dkbju8tgy1g2nmqd,,8r3zvhi1dd8spmmjtap8e84d0,8r3zvhi1dd8spmmjtap8e84d0,2445304,8r3zvhi1dd8spmmjtap8e84d0:62,62,11,13,1,6,6,Claim,1,137,28,28,ATM,,,Atlético de Madrid,Atlético de Madrid,ATM,Atlético,#FF3300,175,2025-04-06,Sevilla,Atlético de Madrid,0,0,ATM,ATM,4ku8o6uf87yd8iecdalipo6wd,175,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,1,2,2,1,2,45,2025-04-06 14:15:00,W 2-1,0-0,0.00,0.0000,0.0,null-223,0.0,Square,Yes,No,0.00,,Other,None,
