toucher,passer,receiver,shooter,goalie,assister,blocker,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,playType,Period,gameClock,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Date,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Team,teamId,teamImageId,opponent,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,ShotDist,reportId,PsDist,PsDirection,PsCompleted,Chance,xGOT,ShotPlayStyle,BodyPart,Pressure,PlyrsBtwn
A. Tchouaméni,A. Tchouaméni,Dani Ceballos,,,,,,,,i48mf81fxn2af1xxjzfi8gr9,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:27,27,1,6,23,1,1,Pass,1,65,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,7.4,Forward,Yes,No,0.00,,Other,None,
Dani Ceballos,Dani Ceballos,Lucas Vázquez,,,,,,,,bf2pf3hs8gcvub4ivlve12ymt,i48mf81fxn2af1xxjzfi8gr9,i48mf81fxn2af1xxjzfi8gr9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:28,28,1,6,24,1,1,Pass,1,67,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,15.8,Square,Yes,No,0.00,,Other,None,
Lucas Vázquez,,,,,,,,,,,,bf2pf3hs8gcvub4ivlve12ymt,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:30,30,1,6,25,1,1,TakeOn,1,70,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,0.0,Square,Yes,No,0.00,,Other,None,
Lucas Vázquez,Lucas Vázquez,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,bf2pf3hs8gcvub4ivlve12ymt,bf2pf3hs8gcvub4ivlve12ymt,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:31,31,1,6,26,1,1,Pass,1,72,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,16.0,Square,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,F. Valverde,,,,,,,,1i9wi65k2foqwudeqiyih87hl,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:32,32,1,6,27,1,1,Pass,1,75,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,10.8,Forward,Yes,No,0.00,,Other,None,
F. Valverde,F. Valverde,A. Tchouaméni,,,,,,,,aipyotc87m5bdvmvizd5n69k9,1i9wi65k2foqwudeqiyih87hl,1i9wi65k2foqwudeqiyih87hl,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:33,33,1,6,28,1,1,Pass,1,75,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,11.0,Backward,Yes,No,0.00,,Other,None,
A. Tchouaméni,A. Tchouaméni,A. Rüdiger,,,,,,,,6fzbp94hf19ysotdassrqdc5x,aipyotc87m5bdvmvizd5n69k9,aipyotc87m5bdvmvizd5n69k9,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:34,34,1,6,29,1,1,Pass,1,79,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,16.7,Square,Yes,No,0.00,,Other,None,
A. Rüdiger,A. Rüdiger,E. Camavinga,,,,,,,,en2c7z1raqmcwee78297pbnu2,6fzbp94hf19ysotdassrqdc5x,6fzbp94hf19ysotdassrqdc5x,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:35,35,1,6,30,1,1,Pass,1,82,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,14.6,Square,Yes,No,0.00,,Other,None,
E. Camavinga,E. Camavinga,F. Valverde,,,,,,,,1i9wi65k2foqwudeqiyih87hl,en2c7z1raqmcwee78297pbnu2,en2c7z1raqmcwee78297pbnu2,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:36,36,1,6,31,1,1,Pass,1,85,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0000,0.0,null-223,15.0,Square,Yes,No,0.00,,Other,None,
F. Valverde,F. Valverde,K. Mbappé,,,,,,,,5e9ilgrz3tzg9kd1gk3yvrahh,1i9wi65k2foqwudeqiyih87hl,1i9wi65k2foqwudeqiyih87hl,,7dthscik4ewme768879kdhiqc,7dthscik4ewme768879kdhiqc,2445183,7dthscik4ewme768879kdhiqc:37,37,1,6,32,1,1,Pass,1,87,90,90,RMA,,,Real Madrid,Real Madrid,RMA,Real Madrid,#0066FF,186,2024-12-22,Real Madrid,Sevilla,0,0,RMA,RMA,3kq9cckrnlogidldtdie2fkbl,186,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,4,2,4,2,2,45,2024-12-22 15:15:00,W 4-2,0-0,0.00,0.0001,0.0,null-223,18.2,Forward,Yes,No,0.00,,Other,None,
